rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10
1.96782307700926e-05,1.92707433469087e-05,1.95874257413971e-05,1.9123976659975e-05,1.9142128903739e-05,1.91418806983299e-05,2.05935897259601e-05,1.91273006899879e-05,1.89584327786737e-05,1.943403638972e-05
2.17908143210597e-05,2.18911255221976e-05,2.21930567429507e-05,2.13285494419379e-05,2.13497615535402e-05,2.1947216664955e-05,2.16755646439827e-05,2.21009121456185e-05,2.09140739705037e-05,1.97692251723183e-05
2.36649365669994e-05,2.28388966049825e-05,2.3069139860442e-05,2.28401989486333e-05,2.19774429457925e-05,2.26432078656541e-05,2.34589871744451e-05,2.24058917967106e-05,2.28192332897941e-05,2.12535133213278e-05
2.29303149353193e-05,2.32593204811501e-05,2.29893559203794e-05,2.2289476085942e-05,2.26937750467384e-05,2.30450990153969e-05,2.31770416829785e-05,2.34896067284415e-05,2.38797670938272e-05,2.29580328980071e-05
2.33086754910281e-05,2.53214910140252e-05,2.35452899803378e-05,2.35829394303262e-05,2.26345328554736e-05,2.30904668837529e-05,2.35765120935291e-05,2.47667052785244e-05,2.41817677761936e-05,2.41070172234243e-05
2.34779499039819e-05,2.37812548284062e-05,2.47693050693739e-05,2.33479160108129e-05,2.34701277844715e-05,2.27652981766222e-05,2.31870787446294e-05,2.38011130800218e-05,2.36979788170685e-05,2.28308139714889e-05
2.29172698917699e-05,2.41996007629907e-05,2.38712850101794e-05,2.44523667159934e-05,2.3614761176419e-05,2.34619297136572e-05,2.40279228976118e-05,2.48516078990701e-05,2.32537728449895e-05,2.43903398660336e-05
2.45630872038444e-05,2.42211104809517e-05,2.47533850773503e-05,2.3157237243797e-05,2.45948991378614e-05,2.39033356825744e-05,2.43458537066363e-05,2.3662033547528e-05,2.29438672466653e-05,2.45477907426726e-05
2.34019062163888e-05,2.49118167234462e-05,2.40667700969723e-05,2.34578103107478e-05,2.53858746559761e-05,2.48191623705838e-05,2.3703431787915e-05,2.55941308324034e-05,2.4039516194753e-05,2.42306524313695e-05
2.43891185265546e-05,2.42448671223716e-05,2.41109131837464e-05,2.54599339411366e-05,2.51270607684423e-05,2.48890629947663e-05,2.45309714344472e-05,2.385850138578e-05,2.51802488355399e-05,2.45281412587742e-05
2.43345152098846e-05,2.50596902110031e-05,2.49777598211618e-05,2.44055278583078e-05,2.50818042106648e-05,2.40460433631579e-05,2.45822887885038e-05,2.44530319514237e-05,2.41795599035671e-05,2.57288222882605e-05
2.52811218336045e-05,2.58373857977927e-05,2.51698418414357e-05,2.3690605760792e-05,2.51856176941243e-05,2.52715289411199e-05,2.43956428163679e-05,2.46185618624577e-05,2.49637363227268e-05,2.40115382001045e-05
2.30933587605331e-05,2.47082161881364e-05,2.52581748302109e-05,2.37067702651825e-05,2.49690081527406e-05,2.50373130822358e-05,2.48921277656385e-05,2.40103468037297e-05,2.47802912410299e-05,2.49314162452344e-05
2.55523516817312e-05,2.49947070889587e-05,2.46753691356086e-05,2.49841936053025e-05,2.54573269304763e-05,2.49623835007061e-05,2.43477925553478e-05,2.42938537549083e-05,2.37880378552924e-05,2.5150668649445e-05
2.45297815442983e-05,2.45047875566634e-05,2.5398836684475e-05,2.49971089368189e-05,2.44107310323555e-05,2.42855719448669e-05,2.44989763343422e-05,2.51887551684495e-05,2.55306066074375e-05,2.50054185906323e-05
2.41590171220143e-05,2.46222727990579e-05,2.49871953146512e-05,2.50808257865008e-05,2.53610371158334e-05,2.53942999447488e-05,2.49495817193506e-05,2.41046369289147e-05,2.60346332365128e-05,2.48866755670464e-05
2.48884047049411e-05,2.39302684847474e-05,2.48664946486438e-05,2.54965393416502e-05,2.42157528165074e-05,2.48199973999967e-05,2.45512523643894e-05,2.41354007698467e-05,2.48713437235756e-05,2.50524119610881e-05
2.5178588715582e-05,2.50162969326285e-05,2.60015969053065e-05,2.52348896057161e-05,2.53964799385092e-05,2.44737097390459e-05,2.52851212267053e-05,2.56848556502344e-05,2.56111992771514e-05,2.49045762135102e-05
2.49635213646642e-05,2.47050801546884e-05,2.60157424864295e-05,2.51617905757952e-05,2.47327427226118e-05,2.53459595932079e-05,2.49982253442878e-05,2.52042922119042e-05,2.47751873508184e-05,2.42459642501315e-05
2.42226050152066e-05,2.57633306238566e-05,2.37807237331016e-05,2.56456651962393e-05,2.4504680266734e-05,2.5349333571246e-05,2.45591668873978e-05,2.52679812936901e-05,2.53903540536234e-05,2.47231695166929e-05
2.57636962853872e-05,2.51697690899053e-05,2.52832018546088e-05,2.62456104853324e-05,2.48252818965991e-05,2.42553587132376e-05,2.56083277467875e-05,2.45721138526954e-05,2.62819920288534e-05,2.52142049571721e-05
2.52048974692066e-05,2.5124388608826e-05,2.46126634458624e-05,2.51084239740091e-05,2.43568693570509e-05,2.61484746306171e-05,2.54325571119308e-05,2.49820789315377e-05,2.58348954032009e-05,2.52396338100644e-05
2.49003797008411e-05,2.60906483142976e-05,2.5130653812611e-05,2.51640236029833e-05,2.5309031085942e-05,2.4085069252055e-05,2.56230092423183e-05,2.54735242663681e-05,2.49042997314029e-05,2.56412670948542e-05
2.57826529574932e-05,2.40911667844776e-05,2.47364381286215e-05,2.568208463727e-05,2.57228926551482e-05,2.41705462088136e-05,2.54823156284405e-05,2.51896688417526e-05,2.45185786232641e-05,2.6350585747972e-05
2.53009070112625e-05,2.52796977630184e-05,2.60117045358388e-05,2.48065819672737e-05,2.49523539597285e-05,2.57853121464738e-05,2.56639924120149e-05,2.61041938776276e-05,2.51233608931625e-05,2.41581981508467e-05
2.45000978684711e-05,2.46185989667093e-05,2.59182849813514e-05,2.43782322742085e-05,2.5496903323408e-05,2.54004983744871e-05,2.57768389119379e-05,2.48638520567399e-05,2.50826718311489e-05,2.56013254003305e-05
2.55494336399438e-05,2.48346153010121e-05,2.55122519333404e-05,2.5138132166898e-05,2.52899385294328e-05,2.49558544923318e-05,2.52173797148568e-05,2.51135554270783e-05,2.51628665910801e-05,2.5275122168428e-05
2.40666363348402e-05,2.52277718599679e-05,2.54793320919712e-05,2.52203225454674e-05,2.57667494630198e-05,2.50882223221757e-05,2.48271140092732e-05,2.55521455749295e-05,2.58002670082559e-05,2.50601910937749e-05
2.46103014155271e-05,2.57124378465364e-05,2.5467348341031e-05,2.5290754994292e-05,2.51188322579999e-05,2.56217720436315e-05,2.5145775651096e-05,2.57443208377178e-05,2.53333502256241e-05,2.48164797516766e-05
2.55340064801791e-05,2.49753627971479e-05,2.58350122824558e-05,2.48162423784797e-05,2.56139596257643e-05,2.49576111314489e-05,2.61481361388972e-05,2.43325136905103e-05,2.63890611281669e-05,2.53762391920135e-05
2.55525012865582e-05,2.56327131413851e-05,2.54620623756456e-05,2.49825292748031e-05,2.67150812065329e-05,2.58447195491478e-05,2.46428097557072e-05,2.50984579339723e-05,2.52957133504218e-05,2.57046312291234e-05
2.53765214151374e-05,2.61611540682822e-05,2.5235752464524e-05,2.49525293644764e-05,2.59846708233745e-05,2.57308830768992e-05,2.50175959674333e-05,2.49540992536016e-05,2.52613442277758e-05,2.55776199853978e-05
2.42488622933612e-05,2.48582602082763e-05,2.56287010026887e-05,2.58815907819581e-05,2.48137340259372e-05,2.53161416725001e-05,2.59314838009869e-05,2.53326094678887e-05,2.57900889713211e-05,2.44339281903397e-05
2.61761841784805e-05,2.51524533473962e-05,2.55381370318598e-05,2.56393874270036e-05,2.63463891085182e-05,2.58214313649543e-05,2.61916063083767e-05,2.60045788131527e-05,2.59543194117562e-05,2.62256444784906e-05
2.59866466856562e-05,2.52667192628109e-05,2.50503826875298e-05,2.56404631618895e-05,2.47508371503617e-05,2.49178726742178e-05,2.49931902036491e-05,2.55248103636024e-05,2.51546688172523e-05,2.54143919955861e-05
2.61482711661116e-05,2.584274686873e-05,2.53358411440688e-05,2.58266938350584e-05,2.54939340680663e-05,2.50040613338389e-05,2.53714123864966e-05,2.61333211809636e-05,2.45904940680882e-05,2.65592036825103e-05
2.5245906776229e-05,2.55691808906833e-05,2.55185104093403e-05,2.54595063525738e-05,2.57319220620926e-05,2.53485810645078e-05,2.54802565691405e-05,2.58214223310041e-05,2.49372061301665e-05,2.49394685973735e-05
2.52589832395345e-05,2.50201699510283e-05,2.5486205883141e-05,2.43618550019941e-05,2.5973508388148e-05,2.60631167772159e-05,2.53259749547061e-05,2.56599955516982e-05,2.58303953838493e-05,2.5073472384179e-05
2.49764773017157e-05,2.56167634071307e-05,2.69829751210151e-05,2.57568477687406e-05,2.53270813348929e-05,2.54161447783172e-05,2.417041649345e-05,2.6086241079302e-05,2.58589051239503e-05,2.45610970663888e-05
2.57447830527707e-05,2.57203961518706e-05,2.49117932580657e-05,2.60012995066272e-05,2.59074022635081e-05,2.53480159291938e-05,2.53617534863816e-05,2.58456708762821e-05,2.47734828092879e-05,2.56053754945857e-05
2.56075345586681e-05,2.52136743905704e-05,2.48591036570987e-05,2.5039531860445e-05,2.64654911419983e-05,2.49113875977112e-05,2.56397221386499e-05,2.47161555501198e-05,2.55327881777872e-05,2.60275882386724e-05
2.49871905922195e-05,2.47898831321359e-05,2.55624384875403e-05,2.5413769323292e-05,2.43460991495853e-05,2.47825578009374e-05,2.68092905211419e-05,2.5485419099373e-05,2.57225956401383e-05,2.51525559919945e-05
2.61448496991266e-05,2.58711223682025e-05,2.55963876448343e-05,2.53753125159046e-05,2.50162783946547e-05,2.56375056779862e-05,2.47981276351024e-05,2.46895305731746e-05,2.49605952154043e-05,2.53315346970578e-05
2.59867530673903e-05,2.5514660774397e-05,2.50922215131636e-05,2.64668212738356e-05,2.61805399186988e-05,2.60930820607158e-05,2.51457071737256e-05,2.6132900000365e-05,2.49406756470932e-05,2.5338419026293e-05
2.58998286725832e-05,2.53231254578167e-05,2.5713190055118e-05,2.55110515341041e-05,2.5362154472426e-05,2.62245323378816e-05,2.53104126827222e-05,2.43366888280401e-05,2.62033652356808e-05,2.54375691168664e-05
2.52073748262141e-05,2.52764737468563e-05,2.60590241963089e-05,2.57486148375473e-05,2.56117501445751e-05,2.59500214328817e-05,2.51006324252791e-05,2.532249218675e-05,2.46419097009926e-05,2.62119610750883e-05
2.48383003011922e-05,2.53121496086907e-05,2.49427627523735e-05,2.50026379511802e-05,2.61173310081726e-05,2.54202901386433e-05,2.52140936056391e-05,2.56482887409371e-05,2.58474379278376e-05,2.5603985824382e-05
2.59637245807557e-05,2.51047467927679e-05,2.5364419161192e-05,2.51792706234067e-05,2.6851770567534e-05,2.53871811577962e-05,2.45071607719375e-05,2.55733930732184e-05,2.61479298901495e-05,2.53221378710857e-05
2.6253159827074e-05,2.48470006687937e-05,2.47069035642389e-05,2.46680899448253e-05,2.46989951291779e-05,2.56417047288534e-05,2.5371446564554e-05,2.64994815964784e-05,2.44223425464031e-05,2.57938026589043e-05
2.48623154493465e-05,2.6307057258752e-05,2.56389159190974e-05,2.60035603803175e-05,2.50777838446436e-05,2.61216320116513e-05,2.52985359872174e-05,2.56230204400497e-05,2.55180664825363e-05,2.48203043570849e-05
